Year,Service Type,Service Level,Coverage,ISO3,Residence Type,Population
2022,Sanitation,Sewage treated,4.672102506950807,ABW,total,4973.219513523787
2022,Sanitation,Faecal sludge treated,10.19487443466163,ALB,total,289771.05698001874
2022,Sanitation,Disposed insitu,17.21067442717733,ALB,total,489182.613485291
2022,Sanitation,Sewage treated,28.95681524326932,ALB,total,823045.640590645
2022,Sanitation,Faecal sludge treated,0,AND,total,0
2022,Sanitation,Disposed insitu,0,AND,total,0
2022,Sanitation,Sewage treated,100,AND,total,79824
2022,Sanitation,Faecal sludge treated,2.938496024696303,ARE,total,277427.20035144984
2022,Sanitation,Disposed insitu,2.938496024696303,ARE,total,277427.20035144984
2022,Sanitation,Sewage treated,92.58612460060283,ARE,total,8741175.459643647
2022,Sanitation,Faecal sludge treated,0,ARM,total,0
2022,Sanitation,Disposed insitu,10.75311414721681,ARM,total,298987.0053979778
2022,Sanitation,Sewage treated,0,ARM,total,0
2022,Sanitation,Faecal sludge treated,5.042189696208449,ASM,total,2232.3286442023664
2022,Sanitation,Disposed insitu,5.907655309157962,ASM,total,2615.4962350235046
2022,Sanitation,Sewage treated,26.04430754088894,ASM,total,11530.59627757776
2022,Sanitation,Faecal sludge treated,1.436822366671365,AUS,total,376122.9249999376
2022,Sanitation,Disposed insitu,1.456163824604175,AUS,total,381186.0183232305
2022,Sanitation,Sewage treated,92.92550314701751,AUS,total,24325492.74112277
2022,Sanitation,Faecal sludge treated,0.8126180968067825,AUT,total,72644.94552721559
2022,Sanitation,Disposed insitu,6.213651047386791,AUT,total,555476.6053528676
2022,Sanitation,Sewage treated,92.64571073743548,AUT,total,8282171.706854607
2022,Sanitation,Faecal sludge treated,5.493117043903168,BEL,total,640273.8774554225
2022,Sanitation,Disposed insitu,5.493117043903168,BEL,total,640273.8774554225
2022,Sanitation,Sewage treated,83.91077207687665,BEL,total,9780580.855740288
2022,Sanitation,Faecal sludge treated,0,BEN,total,0
2022,Sanitation,Disposed insitu,2.449978238102272,BEN,total,327142.2621633925
2022,Sanitation,Sewage treated,0.2512974960463339,BEN,total,33555.412882472345
2022,Sanitation,Faecal sludge treated,0,BFA,total,0
2022,Sanitation,Disposed insitu,9.666974561986597,BFA,total,2191866.804785384
2022,Sanitation,Sewage treated,0.079499504027381,BFA,total,18025.528334348783
2022,Sanitation,Faecal sludge treated,0,BGD,total,0
2022,Sanitation,Disposed insitu,27.48023715701168,BGD,total,47042421.00608423
2022,Sanitation,Sewage treated,3.495956671792192,BGD,total,5984601.393133001
2022,Sanitation,Faecal sludge treated,2.803668321654311,BGR,total,190143.4678504842
2022,Sanitation,Disposed insitu,2.846581998704118,BGR,total,193053.8532585739
2022,Sanitation,Sewage treated,67.80635685419782,BGR,total,4598595.252863974
2022,Sanitation,Faecal sludge treated,7.075419994621527,BHR,total,104166.66804941633
2022,Sanitation,Disposed insitu,0,BHR,total,0
2022,Sanitation,Sewage treated,85.15332924347918,BHR,total,1253655.4137211507
2022,Sanitation,Faecal sludge treated,4.092805235677477,BLR,total,390247.096531439
2022,Sanitation,Disposed insitu,8.61648941114354,BLR,total,821578.3017674073
2022,Sanitation,Sewage treated,62.32647813394731,BLR,total,5942801.0198919345
2022,Sanitation,Sewage treated,1.5,BMU,total,962.76
2022,Sanitation,Faecal sludge treated,3.790258964635045,BRA,total,8160939.160014298
2022,Sanitation,Disposed insitu,6.879745427524422,BRA,total,14813020.533497887
2022,Sanitation,Sewage treated,38.95029152976243,BRA,total,83865235.1739292
2022,Sanitation,Faecal sludge treated,0,BTN,total,0
2022,Sanitation,Disposed insitu,41.76906877286856,BTN,total,326824.16706674866
2022,Sanitation,Sewage treated,8.739174432760203,BTN,total,68380.10730785385
2022,Sanitation,Sewage treated,0.694904173860959,BWA,total,18278.036688897853
2022,Sanitation,Faecal sludge treated,0,CAF,total,0
2022,Sanitation,Disposed insitu,13.31671779866197,CAF,total,742958.8620609813
2022,Sanitation,Sewage treated,0.0301932143397735,CAF,total,1684.5229062446128
2022,Sanitation,Faecal sludge treated,11.58236164620237,CAN,total,4453919.221753242
2022,Sanitation,Disposed insitu,0.5563118409935682,CAN,total,213925.97447538679
2022,Sanitation,Sewage treated,71.78830116030359,CAN,total,27605708.075927936
2022,Sanitation,Faecal sludge treated,0.2043145381498788,CHE,total,17858.054998919473
2022,Sanitation,Disposed insitu,0.2043145381498788,CHE,total,17858.054998919473
2022,Sanitation,Sewage treated,99.40661092413416,CHE,total,8688606.993972886
2022,Sanitation,Faecal sludge treated,3.156382432713955,CHL,total,618768.7845681484
2022,Sanitation,Disposed insitu,3.156382432713955,CHL,total,618768.7845681484
2022,Sanitation,Sewage treated,89.01005797302486,CHL,total,17449294.108177003
2022,Sanitation,Faecal sludge treated,3.263328875700048,CHN,total,47311113.229058236
2022,Sanitation,Disposed insitu,4.291100308609412,CHN,total,62211545.42210079
2022,Sanitation,Sewage treated,59.6658033178845,CHN,total,865023319.4990481
2022,Sanitation,Faecal sludge treated,0,CIV,total,0
2022,Sanitation,Disposed insitu,15.43773965453033,CIV,total,4347351.159264668
2022,Sanitation,Sewage treated,1.808466678344536,CIV,total,509274.01851121796
2022,Sanitation,Faecal sludge treated,0,COD,total,0
2022,Sanitation,Disposed insitu,12.95736211604274,COD,total,12829111.700701602
2022,Sanitation,Sewage treated,0.0784126882376667,COD,total,77636.56885901286
2022,Sanitation,Faecal sludge treated,0.8576925830229299,COL,total,444919.6563635346
2022,Sanitation,Disposed insitu,5.308203012859507,COL,total,2753578.504859464
2022,Sanitation,Sewage treated,12.29126041458893,COL,total,6375971.37736636
