gid,alpha3,totalPopulation,fractionUrban
FRA.1.1.1.1.1_1,FRA,15126,0.934939744089863
FRA.1.1.1.1.2_1,FRA,2366,0.0
FRA.1.1.1.1.3_1,FRA,716,0.586883017428253
FRA.1.1.1.1.4_1,FRA,2288,0.774287740045005
FRA.1.1.1.1.5_1,FRA,1496,0.0
FRA.1.1.1.1.6_1,FRA,256,0.0
FRA.1.1.1.1.7_1,FRA,2202,0.921252691540458
FRA.1.1.1.1.8_1,FRA,771,0.0
FRA.1.1.1.2.1_1,FRA,177,0.0
FRA.1.1.1.2.2_1,FRA,406,0.0
FRA.1.1.1.2.3_1,FRA,489,0.0
FRA.1.1.1.2.4_1,FRA,8971,0.853750245351092
FRA.1.1.1.2.5_1,FRA,1154,0.0
FRA.1.1.1.2.6_1,FRA,1703,0.0
FRA.1.1.1.2.7_1,FRA,753,0.0216828153137709
FRA.1.1.1.2.8_1,FRA,86,0.0
FRA.1.1.1.2.9_1,FRA,168,0.0
FRA.1.1.1.2.10_1,FRA,429,0.0
FRA.1.1.1.2.11_1,FRA,219,0.0
FRA.1.1.1.2.12_1,FRA,164,0.0
FRA.1.1.1.2.13_1,FRA,644,0.0
FRA.1.1.1.2.14_1,FRA,682,0.0
FRA.1.1.1.2.15_1,FRA,264,0.0
FRA.1.1.1.2.16_1,FRA,833,0.0
FRA.1.1.1.2.17_1,FRA,375,0.0
FRA.1.1.1.2.18_1,FRA,1004,0.0
FRA.1.1.1.2.19_1,FRA,202,0.0
FRA.1.1.1.2.20_1,FRA,222,0.0
FRA.1.1.1.2.21_1,FRA,140,0.0
FRA.1.1.1.2.22_1,FRA,135,0.0
FRA.1.1.1.2.23_1,FRA,459,0.0
FRA.1.1.1.2.24_1,FRA,1100,0.0
FRA.1.1.1.3.1_1,FRA,1213,0.0
FRA.1.1.1.3.2_1,FRA,630,0.0
FRA.1.1.1.3.3_1,FRA,295,0.0
FRA.1.1.1.3.4_1,FRA,68,0.0
FRA.1.1.1.3.5_1,FRA,835,0.0
FRA.1.1.1.3.6_1,FRA,191,0.0
FRA.1.1.1.3.7_1,FRA,102,0.0
FRA.1.1.1.3.8_1,FRA,130,0.0
FRA.1.1.1.3.9_1,FRA,176,0.0
FRA.1.1.1.3.10_1,FRA,117,0.0
FRA.1.1.1.3.11_1,FRA,230,0.0
FRA.1.1.1.3.12_1,FRA,439,0.0
FRA.1.1.1.3.13_1,FRA,469,0.0
FRA.1.1.1.3.14_1,FRA,327,0.0
FRA.1.1.1.4.1_1,FRA,299,0.0
FRA.1.1.1.4.2_1,FRA,230,0.0
FRA.1.1.1.4.3_1,FRA,968,0.0
FRA.1.1.1.4.4_1,FRA,4425,0.0
FRA.1.1.1.4.5_1,FRA,34,0.0
FRA.1.1.1.4.6_1,FRA,314,0.0
FRA.1.1.1.5.1_1,FRA,698,0.733649574275101
FRA.1.1.1.5.2_1,FRA,1100,0.0
FRA.1.1.1.5.3_1,FRA,1676,0.0
FRA.1.1.1.5.4_1,FRA,7379,0.819156507454916
FRA.1.1.1.5.5_1,FRA,1843,0.0
FRA.1.1.1.5.6_1,FRA,2390,0.813006595392793
FRA.1.1.1.5.7_1,FRA,1148,0.741189638801028
FRA.1.1.1.5.8_1,FRA,1107,0.0
FRA.1.1.1.5.9_1,FRA,1602,0.0
FRA.1.1.1.5.10_1,FRA,1050,0.0
FRA.1.1.1.5.11_1,FRA,294,0.0
FRA.1.1.1.5.12_1,FRA,1261,0.82628153364491
FRA.1.1.1.5.13_1,FRA,1293,0.0
FRA.1.1.1.6.1_1,FRA,306,0.0
FRA.1.1.1.6.2_1,FRA,1166,0.0
FRA.1.1.1.6.3_1,FRA,351,0.0
FRA.1.1.1.6.4_1,FRA,131,0.0
FRA.1.1.1.6.5_1,FRA,919,0.0
FRA.1.1.1.6.6_1,FRA,134,0.0
FRA.1.1.1.6.7_1,FRA,109,0.0
FRA.1.1.1.6.8_1,FRA,632,0.0
FRA.1.1.1.6.9_1,FRA,147,0.0
FRA.1.1.1.6.10_1,FRA,997,0.0
FRA.1.1.1.6.11_1,FRA,142,0.0
FRA.1.1.1.6.12_1,FRA,1330,0.0
FRA.1.1.1.7.1_1,FRA,200,0.0
FRA.1.1.1.7.2_1,FRA,420,0.0
FRA.1.1.1.7.3_1,FRA,128,0.0
FRA.1.1.1.7.4_1,FRA,146,0.0
FRA.1.1.1.7.5_1,FRA,168,0.0
FRA.1.1.1.7.6_1,FRA,167,0.0
FRA.1.1.1.7.7_1,FRA,108,0.0
FRA.1.1.1.7.8_1,FRA,238,0.0
FRA.1.1.1.7.9_1,FRA,99,0.0
FRA.1.1.1.7.10_1,FRA,2090,0.0
FRA.1.1.1.7.11_1,FRA,1056,0.0
FRA.1.1.1.7.12_1,FRA,704,0.0
FRA.1.1.1.8.1_1,FRA,1187,0.0
FRA.1.1.1.8.2_1,FRA,605,0.0
FRA.1.1.1.8.3_1,FRA,1557,0.0
FRA.1.1.1.8.4_1,FRA,3084,0.0
FRA.1.1.1.8.5_1,FRA,1080,0.0
FRA.1.1.1.9.1_1,FRA,35,0.0
FRA.1.1.1.9.2_1,FRA,972,0.0
FRA.1.1.1.9.3_1,FRA,228,0.0
FRA.1.1.1.9.4_1,FRA,649,0.0
FRA.1.1.1.9.5_1,FRA,556,0.0
FRA.1.1.1.9.6_1,FRA,71,0.0
FRA.1.1.1.9.7_1,FRA,90,0.0
FRA.1.1.1.9.8_1,FRA,129,0.0
FRA.1.1.1.9.9_1,FRA,200,0.0
FRA.1.1.1.9.10_1,FRA,132,0.0
FRA.1.1.1.9.11_1,FRA,639,0.0
FRA.1.1.1.9.12_1,FRA,1243,0.0
FRA.1.1.1.9.13_1,FRA,49,0.0
FRA.1.1.2.1.1_1,FRA,73,0.0
FRA.1.1.2.1.2_1,FRA,3734,0.0
FRA.1.1.2.1.3_1,FRA,912,0.0
FRA.1.1.2.1.4_1,FRA,1199,0.0
