gid,alpha3,totalPopulation,fractionUrban
AUT.1.1.1.1_2,AUT,2043,0.0
AUT.1.1.2.1_2,AUT,1840,0.0
AUT.1.1.3.1_2,AUT,2077,0.877312064723329
AUT.1.1.4.1_2,AUT,2920,0.0963737549624715
AUT.1.1.5.1_2,AUT,1073,0.0
AUT.1.1.6.1_2,AUT,1191,0.0
AUT.1.1.7.1_2,AUT,516,0.0
AUT.1.1.8.1_2,AUT,2411,0.0
AUT.1.1.9.1_2,AUT,1401,0.666836387598318
AUT.1.1.10.1_2,AUT,3443,0.99655834504005
AUT.1.1.11.1_2,AUT,1875,0.0
AUT.1.1.12.1_2,AUT,1317,0.0
AUT.1.1.13.1_2,AUT,2841,0.0
AUT.1.1.14.1_2,AUT,2794,0.0
AUT.1.1.15.1_2,AUT,2538,0.51135102538357
AUT.1.1.16.1_2,AUT,846,0.0
AUT.1.1.17.1_2,AUT,1465,0.0
AUT.1.1.18.1_2,AUT,3135,0.0
AUT.1.1.19.1_2,AUT,2042,0.0
AUT.1.1.20.1_2,AUT,1378,0.884479489263549
AUT.1.1.21.1_2,AUT,1934,0.0
AUT.1.1.22.1_2,AUT,1113,0.0
AUT.1.1.23.1_2,AUT,986,0.0120848928153871
AUT.1.2.1.1_2,AUT,9421,0.940290102824853
AUT.1.2.1.2_2,AUT,2483,0.9849299291039
AUT.1.2.1.3_2,AUT,784,1.0
AUT.1.2.1.4_2,AUT,1791,0.967649121433704
AUT.1.2.1.5_2,AUT,85,1.0
AUT.1.3.1.1_2,AUT,216,0.0
AUT.1.3.1.2_2,AUT,129,0.0
AUT.1.3.2.1_2,AUT,783,0.0
AUT.1.3.3.1_2,AUT,761,0.0
AUT.1.3.3.2_2,AUT,587,0.0
AUT.1.3.4.1_2,AUT,258,0.0
AUT.1.3.4.2_2,AUT,266,0.0
AUT.1.3.4.3_2,AUT,75,0.0
AUT.1.3.4.4_2,AUT,200,0.0
AUT.1.3.4.5_2,AUT,148,0.0
AUT.1.3.5.1_2,AUT,510,0.0
AUT.1.3.5.2_2,AUT,182,0.0
AUT.1.3.5.3_2,AUT,311,0.0
AUT.1.3.6.1_2,AUT,250,0.0
AUT.1.3.7.1_2,AUT,199,0.0
AUT.1.3.7.2_2,AUT,2665,0.0
AUT.1.3.7.3_2,AUT,179,0.0
AUT.1.3.7.4_2,AUT,155,0.0
AUT.1.3.7.5_2,AUT,210,0.0
AUT.1.3.7.6_2,AUT,236,0.0
AUT.1.3.8.1_2,AUT,885,0.0
AUT.1.3.9.1_2,AUT,344,0.0
AUT.1.3.10.1_2,AUT,96,0.0
AUT.1.3.10.2_2,AUT,196,0.0
AUT.1.3.10.3_2,AUT,226,0.0
AUT.1.3.10.4_2,AUT,102,0.0
AUT.1.3.10.5_2,AUT,151,0.0
